1,0
2,0
3,0.37
4,1.09
5,2.22
6,3.67
7,5.1
8,7.54
9,8.29
10,10.85
11,12.11
12,13.86
13,15.76
14,17.82
15,18.88
16,20.08
17,22.27
18,23.45
19,25.38
20,26.16
